m,start,end,n0,n1,add,rem,nt,si,se,tt,tt_usd,ta,ta_usd,ta_cov,sh0,partial
2017-03,2017-02-28,2017-03-31,34,33,0,1,0.029411764705882353,0.1740860047355168,0.17214618261950632,0.1740860047355168,1697316.239858973,,,,454507.8171,
2017-04,2017-03-31,2017-04-28,33,34,1,0,0.030303030303030304,0.08318599227986821,0.07835420259307335,0.08318599227986821,659407.925,,,,504988.86710000003,
2017-05,2017-04-28,2017-05-31,34,35,2,1,0.08823529411764706,0.5604234420249228,0.5500091800027797,0.6157763815993255,6829124.207700101,,,,511878.86710000003,
2017-06,2017-05-31,2017-06-30,35,36,1,0,0.02857142857142857,0.32707212486807447,0.3256065559122543,0.33947483181552934,5557612.842428025,,,,796277.7837,
2017-07,2017-06-30,2017-07-31,36,36,0,0,0.0,0.2085949323910428,0.2085949323910428,0.23368698730316495,4519097.809161385,,,,1053162.0504,
2017-08,2017-07-31,2017-08-31,36,36,0,0,0.0,0.10041015939369569,0.10041015939369566,0.10422732259192972,2354984.9656262044,,,,1272070.3170999999,
2017-09,2017-08-31,2017-09-29,36,39,5,2,0.19444444444444445,0.37103429868536303,0.3278769557648021,0.39823344013791734,13579440.86587416,,,,1392737.1003999999,
2017-10,2017-09-29,2017-10-31,39,39,0,0,0.0,0.3504536609840921,0.35045366098409214,0.4287688894595261,17286231.20001657,,,,1888414.3337,
2017-11,2017-10-31,2017-11-30,39,39,1,1,0.05128205128205128,0.20960607785839627,0.19864229879716697,0.23647104786316048,9934196.249403749,,,,2511532.0504,
2017-12,2017-11-30,2017-12-29,39,35,0,4,0.10256410256410256,0.17482609332384208,0.16747667522076473,0.20652305922558584,11523160.866893308,,,,2890500.6329,
2018-01,2017-12-29,2018-01-31,35,37,2,0,0.05714285714285714,0.7616745876962623,0.7170030774648687,0.8775448971724752,48351828.03510664,,,,3287531.5663,
2018-02,2018-01-31,2018-02-28,37,36,0,1,0.02702702702702703,0.16122171600184587,0.16116126563595026,0.21223945873048355,16481787.77489255,,,,5661606.8166000005,
2018-03,2018-02-28,2018-03-29,36,35,0,1,0.027777777777777776,0.25643742350078147,0.25594582688411105,0.3338671695548942,33786029.12706389,,,,6483022.6829,
2018-04,2018-03-29,2018-04-30,35,36,1,0,0.02857142857142857,0.20460623490234586,0.20251347876417147,0.28377855863035123,36940992.61235368,,,,8100991.6496,
2018-05,2018-04-30,2018-05-31,36,37,1,0,0.027777777777777776,0.2313841554337237,0.2308028596558922,0.31166606379561673,49239310.57392939,,,,9663841.05,
2018-06,2018-05-31,2018-06-29,37,36,1,2,0.08108108108108109,0.12758270920289994,0.12205582739193105,0.15964175156193053,40763071.741871044,,,,11449000.7496,
2018-07,2018-06-29,2018-07-31,36,34,1,3,0.1111111111111111,0.15040785922401914,0.133848258534356,0.19523090509731034,56489882.64874118,,,,12843259.2829,
2018-08,2018-07-31,2018-08-31,34,36,2,0,0.058823529411764705,0.12487380363877011,0.11464477078491411,0.15340700031337298,41418084.48701453,,,,14117170.417100001,
2018-09,2018-08-31,2018-09-28,36,36,0,0,0.0,0.14212873713101523,0.14212873713101523,0.21001487524412946,71919504.77332105,,,,15838491.1837,
2018-10,2018-09-28,2018-10-31,36,34,1,3,0.1111111111111111,0.0479479285452353,0.03770620231947902,0.08383592358610326,39192867.89136309,,,,17863735.933700003,
2018-11,2018-10-31,2018-11-30,34,35,3,2,0.14705882352941177,0.3854253803559607,0.2372737839677617,0.4118795722874701,115754690.74537279,,,,18233628.1996,
