date,fund,company,ticker,cusip,weight,shares_held,market_value
2020-10-07,ARKF,INTU US Equity,INTU,461202103,1.2268,27481,9203661.71
2020-10-07,ARKF,LC US Equity,LC,52603A208,1.2003,1758748,9004789.76
2020-10-07,ARKF,GWRE US Equity,GWRE,40171V100,1.1913,79719,8937297.09
2020-10-07,ARKF,NVDA US Equity,NVDA,67066G104,1.1646,625680,8736995.52
2020-10-07,ARKF,IBKR US Equity,IBKR,45841N107,1.1464,679712,8600056.08
2020-10-07,ARKF,SCHW US Equity,SCHW,808513105,1.1054,219508,8293012.24
2020-10-07,ARKF,DSY SJ Equity,DSY,,1.1,1046802,8252290.41
2020-10-07,ARKF,HDB US Equity,HDB,40415F101,1.0655,296338,7993717.55
2020-10-07,ARKF,ZS US Equity,ZS,98980G102,1.0172,51673,7631068.64
2020-10-07,ARKF,TRU US Equity,TRU,89400J107,1.01,86367,7576976.91
2020-10-07,ARKF,9923 HK Equity,9923,,0.9839,1156800,7381082.7
2020-10-07,ARKF,JD US Equity,JD,47215P106,0.9314,89444,6987365.28
2020-10-07,ARKF,VRSK US Equity,VRSK,92345Y106,0.853,34962,6399094.86
2020-10-07,ARKF,PDD US Equity,PDD,722304102,0.8342,83666,6258216.8
2020-10-07,ARKF,MKTX US Equity,MKTX,57060D108,0.5158,7584,3869584.32
2020-10-07,ARKF,SICPQ US Equity,SICPQ,82837P408,0.4674,228454,3506768.9
2020-10-07,ARKF,MVRXX US Equity,MVRXX,61747C707,0.1645,1233734.84,1233734.84
2020-10-07,ARKF,ZAR Curncy,ZAR,,0,1.15,0.07
2020-10-07,ARKF,USD Curncy,USD,,0,-264357.17,0
2020-10-07,ARKF,CAD Curncy,CAD,,0,0,0
2020-10-08,ARKF,XYZ US Equity,XYZ,852234103,12.0663,500986,91930931
2020-10-08,ARKF,MELI US Equity,MELI,58733R102,4.6244,30363,35232314.31
2020-10-08,ARKF,PINS US Equity,PINS,72352L106,4.238,740386,32288233.46
2020-10-08,ARKF,SE US Equity,SE,81141R100,4.1845,188322,31881031.38
2020-10-08,ARKF,TREE US Equity,TREE,52603B107,3.9392,91570,30012067.5
2020-10-08,ARKF,Z US Equity,Z,98954M200,3.9077,283435,29772012.4
2020-10-08,ARKF,TCEHY US Equity,TCEHY,88032Q109,3.7812,414149,28808204.44
2020-10-08,ARKF,ADYEN NA Equity,ADYEN,,3.7792,14674,28792681.75
2020-10-08,ARKF,ICE US Equity,ICE,45866F104,3.6075,270943,27484457.92
2020-10-08,ARKF,BABA US Equity,BABA,01609W102,3.5384,89700,26958438
