date,fund,company,ticker,cusip,weight,shares_held,market_value
2020-10-27,ARKW,TTD US Equity,TTD,88339J105,1.2828,630880,38695655.68
2020-10-27,ARKW,OPEN US Equity,OPEN,683712103,1.1934,1978972,35997500.68
2020-10-27,ARKW,CRWD US Equity,CRWD,22788C105,1.1914,269246,35938956.08
2020-10-27,ARKW,HUBS US Equity,HUBS,443573100,1.16,114895,34992421.2
2020-10-27,ARKW,FSLY US Equity,FSLY,31188V100,1.157,468709,34900072.14
2020-10-27,ARKW,U US Equity,U,91332U101,1.1336,328803,34195512
2020-10-27,ARKW,TSM US Equity,TSM,874039100,1.111,386489,33512461.19
2020-10-27,ARKW,TEAM US Equity,TEAM,049468101,1.0987,155590,33142225.9
2020-10-27,ARKW,TWTR US Equity,TWTR,90184L102,1.0794,635054,32559218.58
2020-10-27,ARKW,PYPL US Equity,PYPL,70450Y103,0.9926,149393,29942838.99
2020-10-27,ARKW,NVDA US Equity,NVDA,67066G104,0.9911,2231680,29897259.04
2020-10-27,ARKW,ADYEY US Equity,ADYEY,00783V104,0.987,1600600,29771160
2020-10-27,ARKW,ZM US Equity,ZM,98980L101,0.9853,55144,29722064.56
2020-10-27,ARKW,NTDOY US Equity,NTDOY,654445303,0.9753,2152215,29420779.05
2020-10-27,ARKW,JD US Equity,JD,47215P106,0.9679,351712,29195613.12
2020-10-27,ARKW,SNPS US Equity,SNPS,871607107,0.9548,129206,28801309.46
2020-10-27,ARKW,OKTA US Equity,OKTA,679295105,0.9521,129763,28720444.79
2020-10-27,ARKW,DOCU US Equity,DOCU,256163106,0.9318,126503,28107069.06
2020-10-27,ARKW,ADBE US Equity,ADBE,00724F101,0.914,57610,27569841.6
2020-10-27,ARKW,LC US Equity,LC,52603A208,0.7412,4727043,22358913.39
2020-10-27,ARKW,API US Equity,API,00851L103,0.5312,376149,16023947.4
2020-10-27,ARKW,NET US Equity,NET,18915M107,0.5138,276860,15498622.8
2020-10-27,ARKW,WIX US Equity,WIX,,0.417,46931,12577508
2020-10-27,ARKW,MVRXX US Equity,MVRXX,61747C707,0.2481,7483461.77,7483461.77
2020-10-27,ARKW,PLTR US Equity,PLTR,69608A108,0.009,24749,271001.55
2020-10-27,ARKW,SNOW US Equity,SNOW,833445109,0.0009,100,26677
2020-10-27,ARKW,USD Curncy,USD,,0,0,0
2020-10-28,ARKW,TSLA US Equity,TSLA,88160R101,9.543,2056140,278277987.6
2020-10-28,ARKW,ROKU US Equity,ROKU,77543R102,6.5283,875660,190368484
2020-10-28,ARKW,XYZ US Equity,XYZ,852234103,5.8225,1015892,169786029.96
2020-10-28,ARKW,PINS US Equity,PINS,72352L106,3.3122,1961134,96585849.5
2020-10-28,ARKW,META US Equity,META,30303M102,3.2384,352800,94433976
2020-10-28,ARKW,SPOT US Equity,SPOT,,2.9857,315295,87065561.3
2020-10-28,ARKW,SNAP US Equity,SNAP,83304A106,2.9079,1978411,84794695.46
2020-10-28,ARKW,PSTG US Equity,PSTG,74624M102,2.8454,4938835,82972428
2020-10-28,ARKW,WORK US Equity,WORK,83088V102,2.8237,3097869,82341358.02
2020-10-28,ARKW,TREE US Equity,TREE,52603B107,2.806,243840,81822950.4
2020-10-28,ARKW,TWLO US Equity,TWLO,90138F102,2.7016,265286,78779330.56
2020-10-28,ARKW,PD US Equity,PD,69553P100,2.5849,2671027,75376381.94
2020-10-28,ARKW,GBTC US Equity,GBTC,389637109,2.526,4940304,73659932.64
2020-10-28,ARKW,TCEHY US Equity,TCEHY,88032Q109,2.4396,936661,71139402.95
2020-10-28,ARKW,TDOC US Equity,TDOC,87918A105,2.3379,300400,68172776
2020-10-28,ARKW,TWOUQ US Equity,TWOUQ,90214J200,2.3134,64301.3667,67458563.77
2020-10-28,ARKW,SE US Equity,SE,81141R100,2.2127,395267,64523385.08
2020-10-28,ARKW,HUYA US Equity,HUYA,44852D108,2.2012,3087494,64189000.26
2020-10-28,ARKW,Z US Equity,Z,98954M200,2.1112,686617,61562080.22
2020-10-28,ARKW,NFLX US Equity,NFLX,64110L106,2.0666,123938,60263613.12
2020-10-28,ARKW,ICE US Equity,ICE,45866F104,1.9918,619417,58082732.09
2020-10-28,ARKW,VCYT US Equity,VCYT,92337F107,1.888,1526791,55056083.46
2020-10-28,ARKW,BABA US Equity,BABA,01609W102,1.83,173296,53364770.24
2020-10-28,ARKW,SPLK US Equity,SPLK,848637104,1.8181,257714,53016924.08
2020-10-28,ARKW,AMZN US Equity,AMZN,023135106,1.8145,334580,52910146.62
2020-10-28,ARKW,MELI US Equity,MELI,58733R102,1.5283,34993,44566734.87
2020-10-28,ARKW,TTD US Equity,TTD,88339J105,1.288,629650,37557992.85
2020-10-28,ARKW,OPEN US Equity,OPEN,683712103,1.2607,2117599,36761518.64
2020-10-28,ARKW,CRWD US Equity,CRWD,22788C105,1.2124,268719,35355358.83
2020-10-28,ARKW,HUBS US Equity,HUBS,443573100,1.17,114670,34117765.1
2020-10-28,ARKW,FSLY US Equity,FSLY,31188V100,1.1488,467792,33498585.12
2020-10-28,ARKW,U US Equity,U,91332U101,1.1227,328160,32737241.6
2020-10-28,ARKW,TEAM US Equity,TEAM,049468101,1.1122,155286,32433033.96
2020-10-28,ARKW,TSM US Equity,TSM,874039100,1.1092,385733,32343712.05
2020-10-28,ARKW,TWTR US Equity,TWTR,90184L102,1.0548,633811,30758847.83
2020-10-28,ARKW,NTDOY US Equity,NTDOY,654445303,1.0025,2148005,29234348.05
2020-10-28,ARKW,PYPL US Equity,PYPL,70450Y103,0.9833,149101,28673613.31
2020-10-28,ARKW,OKTA US Equity,OKTA,679295105,0.9831,129509,28666817.15
2020-10-28,ARKW,ZM US Equity,ZM,98980L101,0.9739,55036,28399126.36
2020-10-28,ARKW,ADYEY US Equity,ADYEY,00783V104,0.9655,1597468,28155373.5
2020-10-28,ARKW,NVDA US Equity,NVDA,67066G104,0.9645,2227320,28124369.64
2020-10-28,ARKW,JD US Equity,JD,47215P106,0.964,351024,28110001.92
2020-10-28,ARKW,SNPS US Equity,SNPS,871607107,0.9632,128953,28088542.46
2020-10-28,ARKW,DOCU US Equity,DOCU,256163106,0.945,126255,27555153.75
2020-10-28,ARKW,ADBE US Equity,ADBE,00724F101,0.901,57498,26274861.06
2020-10-28,ARKW,LC US Equity,LC,52603A208,0.7297,4717790,21277232.9
2020-10-28,ARKW,API US Equity,API,00851L103,0.6277,447394,18302888.54
2020-10-28,ARKW,NET US Equity,NET,18915M107,0.5189,276318,15131173.68
2020-10-28,ARKW,SHOP CN Equity,SHOP,82509L107,0.4156,118030,12118258.13
2020-10-28,ARKW,MVRXX US Equity,MVRXX,61747C707,0.3801,11084942.21,11084942.21
2020-10-28,ARKW,WIX US Equity,WIX,,0.0142,1580,415334.6
2020-10-28,ARKW,PLTR US Equity,PLTR,69608A108,0.0092,24700,267995
2020-10-28,ARKW,SNOW US Equity,SNOW,833445109,0.0009,100,27244
2020-10-28,ARKW,USD Curncy,USD,,0,0,0
2020-10-29,ARKW,TSLA US Equity,TSLA,88160R101,9.4129,2060172,282126820.92
2020-10-29,ARKW,ROKU US Equity,ROKU,77543R102,6.3794,877377,191206769.61
2020-10-29,ARKW,XYZ US Equity,XYZ,852234103,5.7686,1017884,172897776.24
2020-10-29,ARKW,PINS US Equity,PINS,72352L106,4.0981,1964979,122830837.29
2020-10-29,ARKW,META US Equity,META,30303M102,3.3121,353492,99271158.36
2020-10-29,ARKW,SPOT US Equity,SPOT,,2.8128,315913,84307702.31
2020-10-29,ARKW,TREE US Equity,TREE,52603B107,2.806,244318,84104028.32
2020-10-29,ARKW,SNAP US Equity,SNAP,83304A106,2.7923,1982290,83692283.8
2020-10-29,ARKW,PSTG US Equity,PSTG,74624M102,2.7902,4948520,83629988
2020-10-29,ARKW,WORK US Equity,WORK,83088V102,2.7692,3103943,82999435.82
2020-10-29,ARKW,PD US Equity,PD,69553P100,2.5814,2676265,77370821.15
2020-10-29,ARKW,TWLO US Equity,TWLO,90138F102,2.5592,265806,76706295.48
2020-10-29,ARKW,GBTC US Equity,GBTC,389637109,2.5202,4949991,75536862.66
2020-10-29,ARKW,TCEHY US Equity,TCEHY,88032Q109,2.4589,938498,73700247.94
2020-10-29,ARKW,TWOUQ US Equity,TWOUQ,90214J200,2.3994,64301.3667,71914648.48
2020-10-29,ARKW,HUYA US Equity,HUYA,44852D108,2.2707,3093548,68058056
2020-10-29,ARKW,SE US Equity,SE,81141R100,2.2069,396042,66146934.84
2020-10-29,ARKW,TDOC US Equity,TDOC,87918A105,2.1881,300989,65582493.21
2020-10-29,ARKW,Z US Equity,Z,98954M200,2.1119,687963,63299475.63
2020-10-29,ARKW,NFLX US Equity,NFLX,64110L106,2.089,124181,62613302.01
2020-10-29,ARKW,ICE US Equity,ICE,45866F104,1.9816,620631,59394386.7
2020-10-29,ARKW,VCYT US Equity,VCYT,92337F107,1.8788,1529785,56311385.85
2020-10-29,ARKW,BABA US Equity,BABA,01609W102,1.8107,173636,54271668.16
2020-10-29,ARKW,AMZN US Equity,AMZN,023135106,1.7957,335240,53822949.62
2020-10-29,ARKW,SPLK US Equity,SPLK,848637104,1.7736,258219,53159545.53
2020-10-29,ARKW,MELI US Equity,MELI,58733R102,1.5219,35062,45614960.76
2020-10-29,ARKW,TTD US Equity,TTD,88339J105,1.3008,630880,38987122.24
2020-10-29,ARKW,OPEN US Equity,OPEN,683712103,1.2112,2121751,36303159.61
2020-10-29,ARKW,U US Equity,U,91332U101,1.194,328803,35786918.52
2020-10-29,ARKW,CRWD US Equity,CRWD,22788C105,1.1441,269246,34291170.56
2020-10-29,ARKW,HUBS US Equity,HUBS,443573100,1.144,114895,34286965.9
2020-10-29,ARKW,TWTR US Equity,TWTR,90184L102,1.1109,635054,33295881.22
2020-10-29,ARKW,TSM US Equity,TSM,874039100,1.0946,386489,32809051.21
2020-10-29,ARKW,TEAM US Equity,TEAM,049468101,1.0939,155590,32785924.8
2020-10-29,ARKW,FSLY US Equity,FSLY,31188V100,1.0693,468709,32050321.42
2020-10-29,ARKW,NTDOY US Equity,NTDOY,654445303,0.9987,2152215,29933006.22
2020-10-29,ARKW,JD US Equity,JD,47215P106,0.9744,351712,29206164.48
2020-10-29,ARKW,PYPL US Equity,PYPL,70450Y103,0.9721,149393,29137610.72
2020-10-29,ARKW,NVDA US Equity,NVDA,67066G104,0.9697,2231680,29065400.32
2020-10-29,ARKW,ADYEY US Equity,ADYEY,00783V104,0.9492,1600600,28450665
2020-10-29,ARKW,SNPS US Equity,SNPS,871607107,0.9461,129206,28355548.76
2020-10-29,ARKW,OKTA US Equity,OKTA,679295105,0.9453,129763,28333751.05
2020-10-29,ARKW,DOCU US Equity,DOCU,256163106,0.9017,126502,27027152.3
2020-10-29,ARKW,ZM US Equity,ZM,98980L101,0.9009,55144,27002913.92
2020-10-29,ARKW,ADBE US Equity,ADBE,00724F101,0.8863,57611,26565008.21
2020-10-29,ARKW,API US Equity,API,00851L103,0.8716,620962,26123871.34
2020-10-29,ARKW,LC US Equity,LC,52603A208,0.7445,4717790,22315146.7
2020-10-29,ARKW,MVRXX US Equity,MVRXX,61747C707,0.5925,17759573.47,17759573.47
2020-10-29,ARKW,NET US Equity,NET,18915M107,0.4988,276860,14950440
2020-10-29,ARKW,SHOP CN Equity,SHOP,82509L107,0.3855,118260,11554002
2020-10-29,ARKW,PLTR US Equity,PLTR,69608A108,0.0089,24748,266041
2020-10-29,ARKW,SNOW US Equity,SNOW,833445109,0.0009,100,26588
2020-10-29,ARKW,WIX US Equity,WIX,,0,3,792.27
2020-10-29,ARKW,USD Curncy,USD,,0,0,0
2020-10-30,ARKW,TSLA US Equity,TSLA,88160R101,9.3944,2056140,265954855.2
2020-10-30,ARKW,ROKU US Equity,ROKU,77543R102,6.2605,875660,177233584
2020-10-30,ARKW,XYZ US Equity,XYZ,852234103,5.5578,1015892,157341352.96
2020-10-30,ARKW,PINS US Equity,PINS,72352L106,3.602,1729808,101972181.6
2020-10-30,ARKW,META US Equity,META,30303M102,3.2789,352800,92825208
2020-10-30,ARKW,SPOT US Equity,SPOT,,3.2117,379021,90923347.69
2020-10-30,ARKW,PSTG US Equity,PSTG,74624M102,2.8087,4938834,79515227.4
2020-10-30,ARKW,WORK US Equity,WORK,83088V102,2.7991,3097868,79243463.44
2020-10-30,ARKW,TREE US Equity,TREE,52603B107,2.7872,243840,78904185.6
2020-10-30,ARKW,SNAP US Equity,SNAP,83304A106,2.7527,1978410,77929569.9
2020-10-30,ARKW,GBTC US Equity,GBTC,389637109,2.6839,4940302,75981844.76
2020-10-30,ARKW,TWLO US Equity,TWLO,90138F102,2.6142,265286,74006835.42
2020-10-30,ARKW,PD US Equity,PD,69553P100,2.5569,2671027,72384831.7
2020-10-30,ARKW,TDOC US Equity,TDOC,87918A105,2.5553,368220,72340501.2
2020-10-30,ARKW,TCEHY US Equity,TCEHY,88032Q109,2.5258,936661,71504700.74
