date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-09-11,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.77,91,87525.62
2026-09-11,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11694,11694.07
2026-09-11,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-15.73,-185,-238603.75
2026-09-14,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.22,18399,1537788.42
2026-09-14,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.81,116,133832.68
2026-09-14,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.57,91,84627.27
2026-09-14,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11694,11694.07
2026-09-14,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-16.36,-185,-248632.60
2026-09-15,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.28,18399,1558763.28
2026-09-15,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.65,116,133128.56
2026-09-15,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.45,91,83884.71
2026-09-15,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.76,11694,11694.07
2026-09-15,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-16.13,-185,-248332.90
2026-09-16,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.17,18399,1536132.51
2026-09-16,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.57,116,130142.72
2026-09-16,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.49,91,83409.69
2026-09-16,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11694,11694.07
2026-09-16,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-16.01,-185,-243040.05
2026-09-17,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.15,18399,1530428.82
2026-09-17,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.53,116,129103.36
2026-09-17,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.52,91,83472.48
2026-09-17,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11694,11694.07
2026-09-17,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-15.97,-185,-241672.90
2026-09-18,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.75,18399,1599241.08
2026-09-18,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.46,116,147263.16
2026-09-18,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,4.65,91,72322.25
2026-09-18,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.75,11694,11694.07
2026-09-18,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.61,-185,-274042.35
