date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-06-24,PRNT,KENNAMETAL INC,KMT,489170100,0.11,1979,69462.90
2026-06-24,PRNT,DAUCH CORPORATION,DCH,024061103,0.06,6386,36272.48
2026-06-24,PRNT,DAUCH CORPORATION,DCH,BNBV4N3,0.05,5681,33738.72
2026-06-25,PRNT,XOMETRY INC-A,XMTR,98423F109,6.75,46048,4221680.64
2026-06-25,PRNT,VELO3D INC,VELO,92259N302,5.62,194753,3515291.65
2026-06-25,PRNT,SIEMENS AG-REG,SIE,5727973,5.04,10225,3150654.53
2026-06-25,PRNT,3D SYSTEMS CORP,DDD,88554D205,4.97,1032786,3108685.86
2026-06-25,PRNT,SYNOPSYS INC,SNPS,871607107,4.89,6597,3060546.21
2026-06-25,PRNT,PROTO LABS INC,PRLB,743713109,4.52,35418,2827418.94
2026-06-25,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,4.46,419784,2791563.60
2026-06-25,PRNT,RENISHAW PLC,RSW,0732358,4.27,40703,2669997.66
2026-06-25,PRNT,HP INC,HPQ,40434L105,4.24,113869,2652009.01
2026-06-25,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,4.11,130212,2570858.75
2026-06-25,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,4.04,19606,2530195.49
2026-06-25,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,3.96,235538,2477859.76
2026-06-25,PRNT,NIKON CORP,7731,6642321,3.94,184258,2465616.38
2026-06-25,PRNT,PTC INC,PTC,69370C100,3.80,21049,2377063.57
2026-06-25,PRNT,AUTODESK INC,ADSK,052769106,3.76,12226,2354849.86
2026-06-25,PRNT,STRATASYS LTD,SSYS,M85548101,3.43,257471,2147308.14
2026-06-25,PRNT,BICO GROUP AB,BICO,BKMFJ94,2.78,1022629,1738971.01
2026-06-25,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2.73,1247498,1709072.26
2026-06-25,PRNT,TITOMIC LTD,TTT,BYZ03N6,2.38,10268180,1486244.48
2026-06-25,PRNT,MOOG INC-CLASS A,MOG/A,615394202,2.24,3455,1398929.50
2026-06-25,PRNT,GENERAL ELECTRIC,GE,369604301,2.11,3610,1320826.80
