date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-03-31,ARKVX,"10x Genomics, Inc.",TXG,88025U109,0.49,,
2026-03-31,ARKVX,Intellia Therapeutics,NTLA,45826J105,0.48,,
2026-03-31,ARKVX,"Groq, Inc.",,,0.47,,
2026-03-31,ARKVX,Umoja Biopharma,,,0.42,,
2026-03-31,ARKVX,"Coinbase Global, Inc.",COIN,19260Q107,0.37,,
2026-03-31,ARKVX,Shopify Inc.,SHOP,82509L107,0.37,,
2026-03-31,ARKVX,Roblox Corporation,RBLX,771049103,0.33,,
2026-03-31,ARKVX,"Bitmine Immersion Technologies, Inc.",BMNR,09175A206,0.31,,
2026-03-31,ARKVX,Archer Aviation Inc.,ACHR,03945R102,0.30,,
2026-03-31,ARKVX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,0.30,,
2026-03-31,ARKVX,"Generate:Biomedicines, Inc.",GENB,370920100,0.22,,
2026-03-31,ARKVX,"Freenome, Inc",,,0.19,,
2026-03-31,ARKVX,Gatik AI Inc.,,,0.19,,
2026-03-31,ARKVX,Chipper Cash,,,0.17,,
2026-03-31,ARKVX,"Outrider Technologies, Inc.",,,0.17,,
2026-03-31,ARKVX,"GameFam, Inc.",,,0.16,,
2026-03-31,ARKVX,"Firmly, Inc.",,,0.13,,
2026-03-31,ARKVX,"Atomic Vaults, Inc.",,,0.12,,
2026-03-31,ARKVX,"Pacific Biosciences of California, Inc.",PACB,69404D108,0.12,,
2026-03-31,ARKVX,"KINO Tech, Inc.",,,0.11,,
2026-03-31,ARKVX,"Axiom Space, Inc.",,,0.10,,
2026-03-31,ARKVX,Pave Financial Inc.,,,0.10,,
2026-03-31,ARKVX,Tilda Technologies Inc. (DBA Humata),,,0.04,,
2026-03-31,ARKVX,Sortium Inc.,,,0.03,,
2026-03-31,ARKVX,"Flexport, Inc",,,0.02,,
2026-04-30,ARKVX,SpaceX,,,13.76,,
2026-04-30,ARKVX,OpenAI,,,9.29,,
2026-04-30,ARKVX,Kalshi Inc.,,,4.34,,
2026-04-30,ARKVX,"Replit, Inc.",,,3.83,,
2026-04-30,ARKVX,Ayar Labs,,,3.48,,
2026-04-30,ARKVX,Figure AI Inc.,,,3.27,,
