date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-09-03,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.08,72,23494.32
2026-09-03,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8255,8254.69
2026-09-03,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.58,-147,-288478.68
2026-09-04,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.64,14659,1277385.26
2026-09-04,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.89,94,185083.18
2026-09-04,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.77,72,20569.68
2026-09-04,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.71,8255,8254.69
2026-09-04,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-28.01,-147,-326269.44
2026-09-08,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.53,14659,1263898.98
2026-09-08,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.71,94,181285.58
2026-09-08,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.78,72,20594.88
2026-09-08,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.72,8255,8254.69
2026-09-08,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-27.74,-147,-320114.55
2026-09-09,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.42,14659,1261846.72
2026-09-09,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.48,94,178515.40
2026-09-09,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.76,72,20346.48
2026-09-09,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.72,8255,8254.69
2026-09-09,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-27.38,-147,-315735.42
2026-09-10,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.11,14659,1239565.04
2026-09-10,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.03,94,170751.94
2026-09-10,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.84,72,20919.60
2026-09-10,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8255,8254.69
2026-09-10,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-26.71,-147,-303424.17
2026-09-11,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.19,14659,1217576.54
2026-09-11,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,13.96,94,157127.58
2026-09-11,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.08,72,23425.20
2026-09-11,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8160,8159.69
2026-09-11,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-24.96,-147,-280889.07
2026-09-14,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.60,14659,1225199.22
2026-09-14,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.40,94,162511.90
2026-09-14,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.94,72,21877.92
2026-09-14,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.72,8160,8159.69
2026-09-14,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.67,-147,-289584.12
2026-09-15,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.63,14659,1241910.48
2026-09-15,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.46,94,165313.10
2026-09-15,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.96,72,22461.12
2026-09-15,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.71,8160,8159.69
2026-09-15,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.77,-147,-294567.42
2026-09-16,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.54,14659,1223879.91
2026-09-16,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.21,94,160212.66
2026-09-16,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.93,72,21734.64
2026-09-16,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.72,8160,8159.69
2026-09-16,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.40,-147,-286445.67
2026-09-17,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.46,14659,1219335.62
2026-09-17,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.12,94,158732.16
2026-09-17,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.93,72,21744.00
2026-09-17,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8160,8159.69
2026-09-17,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.24,-147,-283771.74
2026-09-18,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.92,14659,1274160.28
2026-09-18,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.69,94,181840.18
2026-09-18,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.52,72,17629.92
2026-09-18,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.70,8160,8159.69
2026-09-18,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-27.83,-147,-322588.56
2026-09-21,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,110.64,14659,1293363.57
2026-09-21,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,16.61,94,194233.14
2026-09-21,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.36,72,15955.92
2026-09-21,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.70,8160,8159.69
2026-09-21,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-29.31,-147,-342679.05
