date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-05-21,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.67,9997,9997.03
2026-05-21,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-11.89,-194,-176858.16
2026-05-22,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,99.07,19332,1481217.84
2026-05-22,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.41,121,95858.62
2026-05-22,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.27,96,93814.08
2026-05-22,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.67,9997,9997.03
2026-05-22,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-12.42,-194,-185729.78
2026-05-26,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,99.50,19332,1476964.80
2026-05-26,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.67,121,98999.78
2026-05-26,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.09,96,90404.16
2026-05-26,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.67,9997,9997.03
2026-05-26,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-12.94,-194,-192017.32
2026-05-27,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,99.86,19332,1493010.36
2026-05-27,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.85,121,102401.09
2026-05-27,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.85,96,87391.68
2026-05-27,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.67,9997,9997.03
2026-05-27,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-13.22,-194,-197656.90
2026-05-28,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.05,19332,1506929.40
2026-05-28,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.91,121,104119.29
2026-05-28,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.68,96,85565.76
2026-05-28,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.66,9997,9997.03
