date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-06-10,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.62,113,158985.35
2026-06-10,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.96,148,36106.08
2026-06-10,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-10,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.18,-230,-77054.60
2026-06-11,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,92.17,22953,1675798.53
2026-06-11,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,9.48,113,172326.13
2026-06-11,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.69,148,30816.56
2026-06-11,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.29,5229,5229.09
2026-06-11,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-3.63,-230,-65918.00
2026-06-12,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,93.54,22953,1732033.38
2026-06-12,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.40,113,155604.39
2026-06-12,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.85,148,34230.92
2026-06-12,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-12,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.08,-230,-75525.10
2026-06-15,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,93.73,22953,1736394.45
2026-06-15,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.31,113,153859.67
2026-06-15,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.99,148,36912.68
2026-06-15,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-15,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.31,-230,-79860.60
2026-06-16,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.18,22953,1827747.39
